customer_id,first_name,last_name,email,phone,address1,address2,city,state_province,postal_code,country,signup_ts,marketing_opt_in,loyalty_tier,source_channel
1,Aiden,Lopez  ,aiden.lopez@gravesgreenery.com ,,798 birch way ,,Olympia,WA,97589,USA,2023-03-11,True,None,Friend
2,Ethan, MARTINEZ,emartinez@outlook.com,,6129 Willow St,,Seattle,WA,98766,USA,2023-11-25,True,None,Friend
3,Riley,Hall,rhall@gmail.com,057.172.7958,3617 Birch Rd,,Gresham,OR,97669,USA,2023-08-26,True,None,Local Event
4,Mia,Martinez,mmartinez@gmail.com,(882) 637-2899,2644 Fern Ln,,Seattle,WA,98317,USA,2024-04-06,True,Green,Walk-in
5,Scarlett,Lewis,scarlettlewis@outlook.com,598-523-5341,6395 PINE AVE,,New York,NY,97291,USA,2023-06-01,True,Green,Walk-in
6,Devon,Adams,adams718@gravesgreenery.com,932-176-5416,2663 Main Way,,Surrey,BC,98594,Canada,2024-03-09,True,None,Instagram
7,Daniel,Baker,danielbaker@gmail.com,(385) 197-8378,5717 Waterfront Ln,,Meridian,ID,97518,USA,2024-04-12,False,Emerald,Walk-in
8,Shawn,Baker,baker77@mail.com,941-346-8367,3264 Ridge St,,Bellingham,WA,97603,USA,2024-07-29,True,None,Email
9,Lucas,Miller,lmiller@outlook.com,7045345776,2602 Willow Rd ,,Nampa,ID,97601,USA,2023-11-07,True,None,Friend
10,Devon,Martinez,dmartinez@outlook.com,682-991-8437,7285 Evergreen Ct,Apt 90,Bend,OR,98007,USA,2023-04-30,True,None,Walk-in
11,reese,Cooper,reesecooper@gravesgreenery.com,(974) 756-6125,5514 Rose Way,,Vancouver,WA,98077,USA,2023-04-07,True,None,Google
12,Lucas,White,lucas.white@yahoo.com,765.848.5371,2190 River Rd,,  Olympia,WA,98616,USA,2023-03-31,False,None,Instagram
13,Elijah,Baker,ELIJAHBAKER@OUTLOOK.COM ,+16105248442,9378 Evergreen Blvd,,Vancouver,WA,97138,USA,2024-08-15,False,None,Instagram
14,Daniel,Baker,DANIEL.BAKER@GRAVESGREENERY.COM ,011-312-7049,921 Broadway Ave,Apt 7,Bend,OR,98469,USA,2023-05-29,True,Silver,Walk-in
15,Sam,Graves,sgraves@gravesgreenery.com,(790) 559-7722,6947 ridge ave,,Olympia,WA,98232,USA,2024-01-30,True,Gold,Google
16,Elliot,Parker,elliotparker@mail.com,0544629042,9075 Evergreen Ct,Apt 40,Bellingham,WA,98243,USA,2024-05-26,True,None,Instagram
17,Jordan,Adams,adams601@gmail.com,,6623 River Ave,,Vancouver,BC,98436,Canada,2024-06-17,True,Gold,Instagram
18,Drew,Green,drewgreen@gravesgreenery.com,751.571.2590,1641 Maple St,,Spokane,WA,98677,USA,2023-07-29,True,None,Instagram
19,Charlotte,Miller,  miller206@outlook.com,1961145931,2716 Broadway Ct,,Eugene,OR,97097,USA,2023-08-29,True,None,Walk-in
20,  devon,TURNER,devonturner@gmail.com,+19717554615,2445 Willow Ave,,Tacoma,WA,97978,USA,2023-01-13,True,Green,Walk-in
21, Morgan,Green,morgangreen@yahoo.com,2724663204,2849 main ct,,Las Vegas,NV,97488,USA,2024-05-17,False,None,Local Event
22,CASEY,baker,caseybaker@mail.com,,2396 Ridge Ln,,Victoria,BC,98822,Canada,2023-01-02,True,None,Walk-in
23,Charlotte,Cooper,charlottecooper@outlook.com,(186) 085-5471,4462 Cedar Ave,,Eugene,OR,97731,USA,2023-07-10,True,Silver,Walk-in
24,Grace,Lewis,glewis@gravesgreenery.com,778-088-2031,5210 Main St,,Boise,ID,97489,USA,2024-07-22,False,None,Local Event
25,Scarlett,Diaz,scarlett.diaz@gmail.com,984-111-6289,9485 Ridge Way,,Salt Lake City,UT,98988,USA,2024-02-11,False,Gold,Walk-in
