customer_id,first_name,last_name,email,phone,address1,address2,city,state_province,postal_code,country,signup_ts,marketing_opt_in,loyalty_tier,source_channel
1,Lucas,Johansson,lucas.johansson@hotmail.com,(426) 633-9078,8537 Poplar Rd,,Edmonton,AB,T5G 3K7,Canada,2022-01-28 19:12:45,TRUE,Green,In-Store
2,Karim,Kobayashi,kkobayashi@gmail.com,(550) 746-9092,1768 Myrtle Ln,,Minneapolis,MN,55739,USA,2025-03-29 09:41:07,TRUE,Emerald,Online
3,Dae,Begum,dae.begum@yahoo.com,(574) 996-9196,9499 Birch Pl,,Santa Fe,NM,87343,USA,2022-02-11 16:18:34,FALSE,Gold,Online
4,Zoë,Singh,zoësingh@icloud.com,(580) 284-5741,9637 Myrtle Ave,Apt 197,New York,NY,23630,USA,2022-09-28 15:13:57,TRUE,Gold,In-Store
5,Daniel,van den Berg,danielvan den berg7856@yahoo.com,(503) 968-3243,5425 Juniper Blvd,Apt 73,Tacoma,WA,98394,USA,2021-07-03 20:53:46,TRUE,Gold,Online
6,Mira,Yamamoto,myamamoto7769@hotmail.com,(531) 864-9245,5753 Magnolia Ave,,Reno,NV,89806,USA,2021-02-10 01:44:46,FALSE,Silver,Online
7,Zoey,Lambert,lambert.zoey@yahoo.com,(695) 250-1265,4611 Palm Way,,New Orleans,LA,71377,USA,2025-09-11 05:17:32,TRUE,Green,Instagram
8,Yusuf,Pereira,yusufpereira@icloud.com,(583) 769-7547,1812 Ivy Ave,Apt 15,Newark,NJ,85480,USA,2025-02-19 20:41:07,FALSE,Silver,Online
9,Rafael,Gupta,rafaelgupta@outlook.com,(895) 912-4331,2044 Hawthorne Ct,Apt 266,New Haven,CT,65092,USA,2021-04-02 05:05:39,FALSE,Silver,Online
10,Olivia,Garcia,olivia.garcia6797@proton.me,(312) 646-1373,4912 Lilac Blvd,,Detroit,MI,48455,USA,2024-12-16 03:55:10,FALSE,Silver,In-Store
11,Lucia,Wilson,wilson.lucia4564@hotmail.com,(655) 930-3950,7879 Pine St,Apt 127,Orlando,FL,33052,USA,2020-01-16 11:42:50,TRUE,Green,In-Store
12,Sebastian,Ishikawa,sishikawa7462@icloud.com,(945) 393-6152,5533 Fir Pl,,Albuquerque,NM,87957,USA,2023-09-03 12:20:14,TRUE,Green,Online
13,Haruki,Conti,haruki.conti2732@hotmail.com,(503) 391-2383,3016 Sycamore Pl,,San Jose,CA,92328,USA,2020-10-20 13:06:58,TRUE,Gold,Online
14,Anika,Lewis,anikalewis@gmail.com,(660) 560-9241,9864 Lilac St,,Salt Lake City,UT,84749,USA,2020-10-14 20:36:26,TRUE,Green,Online
15,Anika,Anderson,anderson.anika@aol.com,(349) 596-8555,1787 Poplar Ave,,Detroit,MI,49246,USA,2021-12-02 03:51:10,TRUE,Green,Referral
16,Henry,Wilson,henry.wilson@icloud.com,(548) 804-9665,1011 Maple St,,St. John's,NL,A7R 4V3,Canada,2023-10-14 06:00:38,TRUE,Gold,Online
17,Noémie,Greco,greco.noémie7393@gmail.com,(814) 886-4532,6186 Poplar Ct,,Jacksonville,FL,34758,USA,2024-12-03 17:34:53,FALSE,Emerald,Online
18,Andre,O'Connor,o'connor.andre436@hotmail.com,(775) 479-8204,9199 Spruce Rd,,Miami,FL,33528,USA,2021-09-19 16:17:01,TRUE,Green,Online
19,Suzu,Johnson,suzu_johnson2452@outlook.com,(628) 304-8325,4080 Hawthorne Blvd,,Baton Rouge,LA,71481,USA,2024-04-17 08:22:53,FALSE,Silver,Online
20,Nina,Lindberg,ninalindberg@icloud.com,(898) 551-6251,7876 Hawthorne Way,,Salem,OR,97128,USA,2024-02-03 04:30:44,TRUE,Silver,In-Store
21,Sofia,de la Cruz,sde la cruz5870@yahoo.com,(835) 502-3042,7301 Fir Rd,,Portland,OR,97820,USA,2022-12-23 19:54:22,TRUE,Green,Online
22,Mateus,Nakamura,mateus_nakamura2481@icloud.com,(214) 748-4117,3868 Pine Ave,,Atlanta,GA,39991,USA,2020-03-18 13:30:28,FALSE,Silver,In-Store
23,Lucas,Brown,lucas_brown@icloud.com,(858) 212-4753,4622 Walnut Rd,,Tampa,FL,34878,USA,2020-09-13 05:15:47,FALSE,Green,Online
24,Hiro,Taylor,hiro_taylor6570@hotmail.com,(573) 608-9787,4295 Maple Ave,Apt 141,Reno,NV,89694,USA,2020-09-20 16:15:22,TRUE,Green,Online
25,Aisha,Rodriguez,rodriguez.aisha@aol.com,(531) 966-9678,2677 Willow Dr,Apt 117,Tulsa,OK,74694,USA,2021-12-06 23:06:28,TRUE,Green,Online
26,Sofia,Mori,sofiamori@proton.me,(286) 412-5857,5914 Ivy Ave,,New York,NY,140819,USA,2020-02-15 07:38:01,FALSE,Green,Instagram
27,Suzu,Kimura,suzu.kimura@yahoo.com,(716) 500-4192,4052 Ivy Rd,,Vancouver,WA,98548,USA,2024-11-17 10:43:52,TRUE,Silver,Online
28,Anaya,Johansson,ajohansson@outlook.com,(327) 299-1146,7681 Palm Rd,,Charlottetown,PE,C9P 8X8,Canada,2020-01-10 17:41:36,TRUE,Silver,Online
29,Alexander,Almeida,alexanderalmeida@icloud.com,(350) 442-5486,7660 Hawthorne Ave,,Kansas City,MO,65055,USA,2024-08-14 09:56:02,FALSE,Gold,Online
30,Ara,Correia,aracorreia@aol.com,(778) 626-3810,4752 Oak Ave,,Cleveland,OH,45708,USA,2022-06-04 04:29:40,TRUE,Green,Referral
31,Jackson,Dubois,jackson.dubois@gmail.com,(637) 396-5437,27 Fir St,,Fort Collins,CO,80207,USA,2023-05-16 18:39:31,FALSE,Silver,In-Store
32,Nadia,Smith,nsmith@aol.com,(873) 609-6067,1141 Oak St,,Albuquerque,NM,88275,USA,2023-09-04 19:33:24,FALSE,Silver,Online
33,Alexander,Mori,mori.alexander@icloud.com,(777) 275-1221,6521 Palm Way,,Tulsa,OK,74220,USA,2021-07-04 18:03:52,FALSE,Green,Ad Campaign
34,Diego,van den Berg,diego.van den berg1389@outlook.com,(954) 595-1117,6069 Hawthorne Rd,,New York,NY,79684,USA,2022-12-25 20:56:41,TRUE,Silver,Online
35,Harper,Kato,harperkato@icloud.com,(633) 487-8664,2401 Ivy Ct,,Phoenix,AZ,85894,USA,2023-12-23 13:39:45,TRUE,Gold,In-Store
36,Lena,Mori,lenamori8718@icloud.com,(895) 995-9668,3834 Fir Blvd,,Mesa,AZ,86467,USA,2021-07-04 09:12:51,TRUE,Gold,In-Store
37,Sophia,Dubois,sdubois@icloud.com,(642) 636-4095,8433 Juniper Ln,,San Francisco,CA,94375,USA,2023-12-19 20:11:18,FALSE,Silver,Ad Campaign
38,Ingrid,Smith,ismith@gmail.com,(839) 561-1089,6268 Rose Way,,Rochester,NY,44210,USA,2021-08-01 11:27:22,TRUE,Green,Online
39,Harper,Conti,conti.harper3413@aol.com,(603) 539-4924,3619 Laurel Way,,Charlotte,NC,27029,USA,2021-06-14 00:26:38,TRUE,Silver,In-Store
40,Ibrahim,Park,ibrahim_park6860@outlook.com,(986) 881-6794,4150 Cherry Blvd,Apt 34,Milwaukee,WI,53817,USA,2020-10-10 05:37:25,TRUE,Silver,Online
41,Avery,Smirnov,avery_smirnov2360@proton.me,(641) 990-4562,734 Sycamore Rd,,Reno,NV,88998,USA,2023-06-01 06:11:07,FALSE,Gold,Online
42,Mira,Ricci,mira.ricci@aol.com,(765) 290-9797,4609 Oak Ct,,Vancouver,WA,99338,USA,2025-06-02 20:03:24,TRUE,Silver,Online
43,Jack,Park,jackpark8629@yahoo.com,(687) 839-5272,8391 Pine Ter,,Saint Louis,MO,65607,USA,2023-05-23 06:04:43,FALSE,Green,Online
44,Victoria,Gonzalez,victoriagonzalez@hotmail.com,(888) 923-6488,1247 Fir Way,,Surrey,BC,V8W 4C9,Canada,2023-09-18 02:30:11,FALSE,Gold,Online
45,Mia,Santos,mia_santos@icloud.com,(324) 720-7871,9725 Ash Ter,,Orlando,FL,33119,USA,2022-05-30 10:04:29,TRUE,Green,Online
46,Chloé,Miller,miller.chloé@gmail.com,(867) 350-2931,8867 Cedar Ter,,Nashville,TN,37476,USA,2022-06-14 05:48:09,TRUE,Gold,Online
47,Karim,Martin,karimmartin@yahoo.com,(516) 769-2227,9420 Palm Pl,Apt 243,Tucson,AZ,86242,USA,2020-02-11 09:59:33,TRUE,Gold,In-Store
48,Zoey,Choi,choi.zoey3748@aol.com,(294) 920-7263,3356 Laurel Dr,,Columbus,OH,44563,USA,2022-07-28 12:33:58,FALSE,Green,Online
49,Mohamed,de la Cruz,mohamedde la cruz@aol.com,(828) 536-7474,1930 Walnut St,,Portland,ME,49099,USA,2024-10-11 05:42:12,TRUE,Gold,Online
50,Khalil,Taylor,khaliltaylor@yahoo.com,(581) 273-8258,2683 Elm Blvd,Apt 200,Tampa,FL,32671,USA,2023-03-01 22:41:47,TRUE,Green,Online
51,Anaya,Anderson,anayaanderson@gmail.com,(498) 499-4829,8000 Cedar Ter,,Jacksonville,FL,34320,USA,2024-04-27 15:17:30,FALSE,Gold,Online
52,Victoria,Pereira,pereira.victoria@gmail.com,(333) 911-5941,2001 Fir Ln,,Detroit,MI,48101,USA,2024-06-02 10:06:37,TRUE,Green,Online
53,Nina,Fujita,nfujita@yahoo.com,(488) 807-9201,6505 Pine Blvd,,Burnaby,BC,V4E 5K3,Canada,2022-05-15 17:28:45,FALSE,Green,Ad Campaign
54,Yuna,Johansson,yunajohansson@icloud.com,(261) 554-2496,8247 Pine Way,,Fort Collins,CO,81023,USA,2025-05-23 02:29:24,TRUE,Gold,Instagram
55,Yuri,Jackson,yuri.jackson@proton.me,(848) 931-8505,6208 Rose Ter,Apt 252,Providence,RI,28537,USA,2023-06-26 15:55:27,TRUE,Silver,Online
56,Ara,Watanabe,awatanabe@gmail.com,(591) 266-2230,9299 Sycamore Way,Apt 266,Portland,ME,41613,USA,2023-01-09 22:25:24,FALSE,Emerald,Online
57,Hana,Lopez,hana.lopez4455@hotmail.com,(488) 970-5430,3753 Alder Ln,,Pittsburgh,PA,18209,USA,2022-08-22 14:59:02,TRUE,Green,Instagram
58,Madison,Greco,madisongreco9034@proton.me,(311) 818-3269,8422 Elm Blvd,Apt 67,Rochester,NY,48166,USA,2025-05-16 04:55:54,FALSE,Green,Online
59,Sofia,Popov,sofia_popov@hotmail.com,(445) 467-7599,9455 Spruce St,,Rochester,NY,36831,USA,2021-01-08 06:49:56,TRUE,Gold,In-Store
