customer_id,first_name,last_name,email,phone,address1,address2,city,state_province,postal_code,country,signup_ts,marketing_opt_in,loyalty_tier,source_channel
1,Sebastian,Sanders,sebastiansanders@gmail.com,(471) 251-7178,9739 Cedar Blvd,,Burnaby,NB,N9K 4C0,Canada,2025-01-24 05:08:32,TRUE,Silver,Online
2,Kayden,Davis,kayden_davis@aol.com,(255) 691-6483,8799 Cedar Ct,,Birmingham,FL,95459,USA,2022-10-29 18:30:57,TRUE,Silver,In-Store
3,Luca,Thomas,luca.thomas@icloud.com,(620) 543-7840,2651 Elm Ave,,Boise,MN,81602,USA,2021-02-21 00:27:04,TRUE,Silver,In-Store
4,Brielle,Wilson,brielle_wilson6726@yahoo.com,(383) 962-7789,5144 Fir Dr,,Hamilton,MB,E2T 5P7,Canada,2025-06-21 17:32:04,TRUE,Gold,Online
5,Adalynn,Young,adalynn.young@hotmail.com,(915) 248-2864,9676 Hawthorne Ter,Apt 28,Buffalo,NJ,31848,USA,2025-07-15 11:12:50,FALSE,Green,Online
6,Noah,Campos,noah.campos9865@aol.com,(740) 537-5386,3196 Fir Ave,Apt 124,Tacoma,MD,90467,USA,2020-08-18 07:30:43,TRUE,Green,Online
7,Dylan,Alvarez,dylan.alvarez4563@proton.me,(813) 800-9981,5464 Laurel Dr,,Boston,MT,99139,USA,2022-06-11 19:40:09,TRUE,Green,Referral
8,Weston,Smirnov,wsmirnov@aol.com,(531) 771-2093,7185 Vine Rd,,Fort Collins,MI,34150,USA,2024-09-20 05:57:59,TRUE,Silver,Online
9,Amari,Navarro,amari_navarro3830@gmail.com,(567) 464-2600,621 Cedar Pl,,Santa Fe,VT,44225,USA,2023-07-09 12:13:49,TRUE,Green,Instagram
10,Marta,Morris,mmorris@aol.com,(867) 801-8022,9804 Alder Pl,,Nashville,NH,16047,USA,2025-03-18 04:40:17,FALSE,Green,Ad Campaign
11,Waylon,Roman,waylon_roman3379@yahoo.com,(867) 978-2522,2890 Lilac Ave,,Milwaukee,NE,53073,USA,2025-04-11 06:59:27,TRUE,Silver,Online
12,Eli,Allen,eallen8606@aol.com,(376) 861-3797,3718 Lilac Rd,Apt 93,Orlando,NM,95256,USA,2022-07-29 01:26:43,FALSE,Green,Online
13,Phoebe,Iyer,phoebe_iyer@outlook.com,(475) 372-5858,246 Cedar Pl,,Richmond,MO,48035,USA,2021-09-28 21:42:01,TRUE,Green,In-Store
14,Ava,Castro,ava.castro@hotmail.com,(321) 884-9433,129 Lilac Ter,,Boston,MS,21909,USA,2023-01-27 00:39:51,TRUE,Green,Online
15,Aubree,Lee,aubree.lee@icloud.com,(852) 337-5916,8843 Sycamore Ave,Apt 240,Portland,AR,50769,USA,2020-08-16 16:58:52,TRUE,Gold,In-Store
16,Kingston,Morales,kingstonmorales6263@proton.me,(386) 967-3874,1166 Maple Dr,,Atlanta,NH,45018,USA,2024-04-12 13:37:42,FALSE,Green,Online
17,Imran,Moore,imranmoore@gmail.com,(296) 266-9876,5694 Willow Dr,,Salem,RI,42774,USA,2022-08-02 09:08:17,FALSE,Gold,Online
18,Noel,Nguyen,noelnguyen7744@outlook.com,(891) 729-9827,2921 Laurel Dr,,Phoenix,NE,49309,USA,2021-02-23 23:33:24,TRUE,Silver,In-Store
19,Jade,Andersson,jandersson4408@yahoo.com,(381) 592-3188,5940 Vine Rd,,Austin,KY,83665,USA,2023-10-24 00:36:55,TRUE,Emerald,In-Store
